Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
90.0000 69.2130 0.4285 0.2447 0.3267 0.00000 7.583 1500.0 12.0 0.0000 0.1463 18.60 0.0628 0.0000 0.0000
95.6250 69.2130 0.4375 0.2401 0.3224 0.00000 7.476 1500.0 12.0 0.0000 0.1156 14.60 0.0628 0.0000 0.0000
101.2500 69.2130 0.4515 0.2316 0.3169 0.00000 7.320 1500.0 12.0 0.0000 0.1064 13.31 0.0628 0.0000 0.0000
106.8750 69.2130 0.4452 0.2345 0.3203 0.00000 7.398 1500.0 12.0 0.0000 0.1149 14.44 0.0628 0.0000 0.0000
112.5000 69.2130 0.4189 0.2488 0.3323 0.00000 7.629 1500.0 12.0 0.0000 0.1463 18.75 0.0628 0.0000 0.0000
118.1250 69.2130 0.4740 0.2174 0.3086 0.00000 7.068 1500.0 12.0 0.0000 0.1065 13.11 0.0628 0.0000 0.0000
123.7500 69.2130 0.4891 0.2079 0.3030 0.00000 6.895 1500.0 12.0 0.0000 0.0916 11.16 0.0628 0.0000 0.0000
129.3750 69.2130 0.4168 0.2539 0.3293 0.00000 7.642 1500.0 12.0 0.0000 0.0839 10.75 0.0628 0.0000 0.0000
135.0000 69.2130 0.3669 0.2858 0.3473 0.00000 8.240 1500.0 12.0 0.0000 0.0866 11.46 0.0628 0.0000 0.0000
140.6250 69.2130 0.3956 0.2675 0.3369 0.00000 7.933 1500.0 12.0 0.0000 0.0943 12.24 0.0628 0.0000 0.0000
146.2500 69.2130 0.5879 0.1582 0.2539 0.00000 7.119 1500.0 12.0 0.0000 0.3480 39.16 0.0628 0.0000 0.0000
151.8750 69.2130 0.4608 0.2112 0.3280 0.00000 7.122 1500.0 12.0 0.0000 0.3217 40.32 0.0628 0.0000 0.0004
157.5000 69.2130 0.4801 0.1969 0.3230 0.00000 6.847 1500.0 12.0 0.0000 0.1502 18.60 0.0628 0.0000 0.0003
163.1250 69.2130 0.4824 0.1996 0.3176 0.00000 6.689 1500.0 12.0 0.0000 0.0874 10.78 0.0628 0.0000 0.0000
-106.8750 69.2130 0.4774 0.1994 0.3232 0.00000 7.105 1499.9 12.0 0.0000 0.1524 18.90 0.0628 0.0000 0.0005
-101.2500 69.2130 0.5180 0.1812 0.3008 0.00000 7.137 1499.9 12.0 0.0000 0.1997 23.96 0.0628 0.0000 0.0005
-95.6250 69.2130 0.4749 0.2225 0.3026 0.00000 7.852 1500.0 12.0 0.0000 0.2040 25.03 0.0628 0.0000 0.0003
-90.0000 69.2130 0.5365 0.1893 0.2741 0.00000 7.480 1500.0 12.0 0.0000 0.2634 30.82 0.0628 0.0000 0.0000
-84.3750 69.2130 0.4668 0.2243 0.3089 0.00000 7.401 1500.0 12.0 0.0000 0.1564 19.33 0.0628 0.0000 0.0000
-78.7500 69.2130 0.3963 0.2606 0.3432 0.00000 7.637 1500.0 12.0 0.0000 0.1309 17.04 0.0628 0.0000 0.0000
-73.1250 69.2130 0.4459 0.2478 0.3063 0.00000 7.632 1500.0 12.0 0.0000 0.3708 46.24 0.0628 0.0000 0.0000
-67.5000 69.2130 0.7147 0.0853 0.2001 0.00000 6.416 1500.0 12.0 0.0000 1.3684 138.38 0.0628 0.0000 0.0000
-61.8750 69.2130 0.6252 0.1368 0.2380 0.00000 6.886 1500.0 12.0 0.0000 1.0948 119.49 0.0628 0.0000 0.0000
-56.2500 69.2130 0.5729 0.1507 0.2764 0.00000 6.886 1499.9 12.0 0.0000 0.7775 89.40 0.0628 0.0000 0.0006
0.0000 63.6786 0.5439 0.1627 0.2934 0.00000 6.016 1499.6 12.0 0.0000 0.4239 50.00 0.0846 0.0003 0.0014
5.6250 63.6786 0.5807 0.1437 0.2755 0.00000 6.081 1499.6 12.0 0.0000 0.6000 68.70 0.0793 0.0002 0.0015
11.2500 63.6786 0.6297 0.1156 0.2546 0.00000 6.327 1499.8 12.0 0.0000 0.4801 52.85 0.0655 0.0001 0.0016
16.8750 63.6786 0.5594 0.1630 0.2776 0.00000 6.933 1499.9 12.0 0.0000 0.5599 64.89 0.0628 0.0000 0.0005
22.5000 63.6786 0.4749 0.2120 0.3131 0.00000 7.776 1499.9 12.0 0.0000 0.5967 73.65 0.0628 0.0000 0.0006
28.1250 63.6786 0.5212 0.1938 0.2850 0.00000 7.533 1500.0 12.0 0.0000 1.0152 120.49 0.0628 0.0000 0.0003
33.7500 63.6786 0.4961 0.1979 0.3060 0.00000 7.456 1499.9 12.0 0.0000 1.2066 146.79 0.0628 0.0000 0.0005
39.3750 63.6786 0.4353 0.2227 0.3420 0.00000 7.677 1499.9 12.0 0.0000 1.1452 146.41 0.0628 0.0001 0.0010
45.0000 63.6786 0.4551 0.2111 0.3336 0.00000 7.174 1499.9 12.0 0.0000 0.6805 85.77 0.0628 0.0001 0.0007
