Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
106.8750 80.2688 7.13297 0.437071 0.342023 0.174657 24.283 26.280 0.571700 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
112.5000 80.2688 7.68096 0.444770 0.362603 0.194262 23.620 25.656 0.523902 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
118.1250 80.2688 7.17943 0.439645 0.347699 0.178330 24.177 26.132 0.548270 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
123.7500 80.2688 6.66508 0.433679 0.329980 0.160742 25.601 27.638 0.633555 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
129.3750 80.2688 6.47612 0.430870 0.321936 0.153567 28.531 31.036 0.815372 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
135.0000 80.2688 6.64894 0.432761 0.327923 0.159462 35.794 38.983 1.000000 0.308346 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
140.6250 80.2688 6.48751 0.430287 0.320904 0.153274 47.871 50.937 1.000000 1.000000 0.102162 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
146.2500 80.2688 5.89986 0.421739 0.295250 0.131014 58.153 60.774 1.000000 1.000000 0.787256 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
151.8750 80.2688 5.65460 0.418422 0.284509 0.121877 54.004 56.442 1.000000 1.000000 0.567014 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
157.5000 80.2688 6.53620 0.433169 0.327370 0.157226 51.029 54.174 1.000000 1.000000 0.245554 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
163.1250 80.2688 6.30376 0.432932 0.323898 0.151407 49.728 52.756 1.000000 1.000000 0.129341 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
