Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
157.5000 80.2688 6.53620 0.433169 0.327370 0.157226 48.860 52.005 1.000000 1.000000 0.118095 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
163.1250 80.2688 6.30376 0.432932 0.323898 0.151407 47.626 50.655 1.000000 0.944705 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
168.7500 80.2688 6.42162 0.433453 0.326509 0.154773 43.587 46.683 1.000000 0.721652 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
174.3750 80.2688 6.96583 0.439363 0.344964 0.173342 37.141 40.608 1.000000 0.347709 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
180.0000 80.2688 6.91958 0.439130 0.343999 0.172063 37.821 41.262 1.000000 0.383322 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-174.3750 80.2688 6.03244 0.427735 0.309390 0.139763 34.531 37.326 1.000000 0.219312 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-168.7500 80.2688 6.84000 0.436563 0.337872 0.167642 24.029 25.813 0.532337 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-163.1250 80.2688 7.07074 0.439730 0.346790 0.176048 21.157 22.424 0.359892 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-146.2500 80.2688 6.03758 0.427180 0.308337 0.139381 25.195 26.901 0.611999 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-140.6250 80.2688 6.65854 0.435064 0.332729 0.161967 21.511 22.744 0.380511 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-135.0000 80.2688 6.97760 0.437466 0.341205 0.171652 20.787 21.977 0.346772 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-129.3750 80.2688 6.82816 0.436933 0.338498 0.167749 21.365 22.614 0.372076 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-118.1250 80.2688 5.54363 0.421908 0.289495 0.121926 35.604 38.043 1.000000 0.308346 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-112.5000 80.2688 6.11030 0.430234 0.315657 0.144045 40.870 43.751 1.000000 0.565139 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-106.8750 80.2688 6.90681 0.441300 0.348364 0.174024 49.837 53.317 1.000000 1.000000 0.104974 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-101.2500 80.2688 6.64086 0.431923 0.326133 0.158452 55.586 58.755 1.000000 1.000000 0.561390 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-95.6250 80.2688 6.98239 0.435999 0.338281 0.170261 55.179 58.584 1.000000 1.000000 0.530463 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-90.0000 80.2688 6.26580 0.426914 0.311124 0.144768 68.539 71.435 1.000000 1.000000 1.000000 0.429245 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-84.3750 80.2688 5.89737 0.422801 0.297324 0.131890 55.353 57.991 1.000000 1.000000 0.592318 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-78.7500 80.2688 6.79358 0.433262 0.330650 0.163275 35.798 39.064 1.000000 0.322404 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-73.1250 80.2688 6.14105 0.426865 0.309233 0.141669 32.431 35.264 1.000000 0.119032 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-56.2500 80.2688 5.37723 0.416335 0.275214 0.112850 47.189 49.446 1.000000 1.000000 0.152771 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
