Lon Lat b theta_s theta_fc theta_wp awc_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
-95.6250 80.2688 7.38875 0.437154 0.344722 0.180179 246.814 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
-90.0000 80.2688 6.65051 0.428276 0.318970 0.155135 245.754 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
-84.3750 80.2688 6.33414 0.425654 0.309573 0.145240 246.500 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
-78.7500 80.2688 7.26986 0.436891 0.343040 0.177408 248.448 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
-73.1250 80.2688 6.71618 0.432474 0.328152 0.160729 251.134 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
-56.2500 80.2688 5.74928 0.418427 0.286182 0.124317 231.699 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.314315
-50.6250 80.2688 5.63421 0.414745 0.276967 0.118282 238.027 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
-45.0000 80.2688 4.94376 0.406083 0.246126 0.093335 229.187 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
61.8750 74.7445 6.57282 0.435566 0.332740 0.160459 179.467 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.165892 0.062800 0.062800 0.062800 0.062800
67.5000 74.7445 5.70275 0.427770 0.304283 0.131284 259.499 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
73.1250 74.7445 6.05202 0.424306 0.302762 0.137121 248.462 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
78.7500 74.7445 6.91516 0.433303 0.332122 0.166049 247.195 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.884724
84.3750 74.7445 7.28547 0.439052 0.347530 0.179984 149.426 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.541709 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
90.0000 74.7445 7.54788 0.442273 0.356430 0.188865 116.339 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.440492 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
95.6250 74.7445 7.94724 0.447582 0.370360 0.202610 146.267 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.237569 0.080300 0.080300 0.080300 0.080300 0.080300 0.080300
101.2500 74.7445 7.77358 0.445294 0.364407 0.196685 164.853 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.255463 0.114700 0.114700 0.114700 0.114700 0.114700
106.8750 74.7445 7.80049 0.444589 0.363196 0.196449 160.678 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.693991 0.157000 0.157000 0.157000 0.157000 0.157000 0.157000
112.5000 74.7445 8.06367 0.446680 0.369392 0.203848 158.834 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.429494 0.194200 0.194200 0.194200 0.194200 0.194200 0.194200
118.1250 74.7445 8.11824 0.447864 0.372157 0.206196 167.358 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.790565 0.215600 0.215600 0.215600 0.215600 0.215600 0.215600
123.7500 74.7445 8.36341 0.451139 0.380375 0.214429 185.806 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.311629 0.221300 0.221300 0.221300 0.221300
129.3750 74.7445 8.17678 0.447940 0.372718 0.207382 200.158 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.456320 0.216600 0.216600 0.216600
135.0000 74.7445 7.53753 0.439614 0.351004 0.185827 199.097 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.441278 0.204100 0.204100 0.204100
140.6250 74.7445 7.11865 0.435521 0.338763 0.172759 210.380 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.283999 0.194600 0.194600
146.2500 74.7445 6.54066 0.427065 0.315165 0.151440 245.588 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
151.8750 74.7445 5.97836 0.419314 0.291749 0.130850 241.349 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
157.5000 74.7445 7.39998 0.441722 0.354003 0.185213 253.186 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
163.1250 74.7445 7.00095 0.436569 0.339631 0.171252 252.569 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
