Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation cec allophane polyvalent
-73.1250 80.2688 0.4973 0.2032 0.2996 0.00000 7.537 1500.0 12.0 0.0000 0.1025 12.42 0.0628 0.0000 0.0000 12.732 0.00000 7.512
-67.5000 80.2688 0.4831 0.2118 0.3051 0.00000 5.569 1500.0 12.0 0.0000 0.0747 10.00 0.0641 0.0000 0.0000 11.440 0.00000 6.750
-61.8750 80.2688 0.4864 0.2099 0.3038 0.00000 5.531 1500.0 12.0 0.0000 0.0664 10.00 0.0643 0.0000 0.0000 11.299 0.00000 6.666
-56.2500 80.2688 0.5837 0.1562 0.2601 0.00000 7.711 1500.0 12.0 0.0000 0.2090 23.66 0.0628 0.0000 0.0000 9.907 0.00000 5.845
-50.6250 80.2688 0.6694 0.1097 0.2209 0.00000 7.408 1500.0 12.0 0.0000 0.2792 29.40 0.0628 0.0000 0.0000 6.810 0.00000 4.018
-45.0000 80.2688 0.7055 0.0901 0.2044 0.00000 6.793 1500.0 12.0 0.0000 0.2784 28.39 0.0628 0.0000 0.0000 5.351 0.00000 3.157
-39.3750 80.2688 0.7135 0.0858 0.2008 0.00000 5.104 1500.0 12.0 0.0000 0.1983 20.08 0.0633 0.0000 0.0000 4.455 0.00000 1.287
-33.7500 80.2688 0.6891 0.0982 0.2126 0.00000 5.117 1500.0 12.0 0.0000 0.2131 22.07 0.0628 0.0000 0.0000 5.109 0.00000 1.528
-28.1250 80.2688 0.6773 0.0982 0.2245 0.00000 5.130 1500.0 12.0 0.0000 0.2060 21.65 0.0628 0.0000 0.0003 5.114 0.00000 1.581
-22.5000 80.2688 0.6052 0.1189 0.2759 0.00000 5.260 1499.9 12.0 0.0000 0.2133 24.11 0.0628 0.0001 0.0011 6.258 0.00002 2.549
-16.8750 80.2688 0.6844 0.0908 0.2248 0.00000 5.207 1499.9 12.0 0.0000 0.2930 30.68 0.0628 0.0000 0.0005 4.759 0.00001 1.750
-11.2500 80.2688 0.6615 0.1077 0.2308 0.00000 5.472 1500.0 12.0 0.0000 0.2842 30.26 0.0628 0.0000 0.0002 5.770 0.00000 3.281
-5.6250 80.2688 0.6374 0.1146 0.2480 0.00000 5.806 1499.9 12.0 0.0000 0.2844 31.04 0.0628 0.0000 0.0005 6.308 0.00001 3.722
0.0000 74.7445 0.4489 0.2220 0.3290 0.00000 6.543 1500.0 12.0 0.0000 0.0599 10.00 0.0628 0.0000 0.0000 12.943 0.00000 7.636
5.6250 74.7445 0.4489 0.2220 0.3290 0.00000 6.588 1500.0 12.0 0.0000 0.0667 10.00 0.0628 0.0000 0.0000 12.987 0.00000 7.662
11.2500 74.7445 0.4488 0.2221 0.3290 0.00000 6.566 1500.0 12.0 0.0000 0.0773 10.00 0.0628 0.0000 0.0000 12.970 0.00000 7.653
50.6250 74.7445 0.4285 0.2348 0.3366 0.00000 5.768 1500.0 12.0 0.0000 0.2087 26.68 0.0640 0.0000 0.0000 12.888 0.00000 7.604
56.2500 74.7445 0.5079 0.1771 0.3150 0.00000 5.450 1499.9 12.0 0.0000 0.3463 42.10 0.0646 0.0001 0.0006 9.472 0.00001 5.227
61.8750 74.7445 0.4274 0.2315 0.3411 0.00000 8.164 1499.9 12.0 0.0000 0.3087 39.59 0.0628 0.0000 0.0005 15.143 0.00001 8.935
67.5000 74.7445 0.5019 0.1733 0.3249 0.00000 8.179 1499.8 12.0 0.0000 0.5456 66.93 0.0628 0.0001 0.0018 11.348 0.00003 6.695
73.1250 74.7445 0.5250 0.1934 0.2816 0.00000 8.200 1500.0 12.0 0.0000 0.5476 64.74 0.0628 0.0000 0.0003 12.682 0.00001 7.483
78.7500 74.7445 0.4367 0.2536 0.3097 0.00000 8.209 1500.0 12.0 0.0000 0.3545 44.48 0.0628 0.0000 0.0000 16.640 0.00000 9.817
84.3750 74.7445 0.3944 0.2735 0.3320 0.00000 8.165 1500.0 12.0 0.0000 0.1538 19.92 0.0628 0.0000 0.0000 17.895 0.00000 10.558
90.0000 74.7445 0.3853 0.2787 0.3360 0.00000 8.194 1500.0 12.0 0.0000 0.1854 24.18 0.0628 0.0000 0.0000 18.269 0.00000 10.778
95.6250 74.7445 0.3318 0.3072 0.3610 0.00000 8.123 1500.0 12.0 0.0000 0.1199 16.23 0.0628 0.0000 0.0000 20.043 0.00000 11.825
101.2500 74.7445 0.3531 0.2907 0.3562 0.00000 8.026 1500.0 12.0 0.0000 0.0936 12.53 0.0628 0.0000 0.0000 18.843 0.00000 11.118
106.8750 74.7445 0.3700 0.2798 0.3501 0.00000 7.926 1500.0 12.0 0.0000 0.0804 10.63 0.0628 0.0000 0.0000 18.015 0.00000 10.629
112.5000 74.7445 0.3453 0.2948 0.3599 0.00000 7.867 1500.0 12.0 0.0000 0.0616 10.00 0.0628 0.0000 0.0000 18.899 0.00000 11.150
118.1250 74.7445 0.3436 0.2901 0.3662 0.00000 7.899 1500.0 12.0 0.0000 0.0632 10.00 0.0628 0.0000 0.0000 18.643 0.00000 10.999
123.7500 74.7445 0.3136 0.3056 0.3808 0.00000 7.906 1500.0 12.0 0.0000 0.0664 10.00 0.0628 0.0000 0.0000 19.645 0.00000 11.590
129.3750 74.7445 0.3413 0.2949 0.3638 0.00000 7.859 1500.0 12.0 0.0000 0.0659 10.00 0.0628 0.0000 0.0000 18.896 0.00000 11.149
135.0000 74.7445 0.4167 0.2549 0.3284 0.00000 7.767 1500.0 12.0 0.0000 0.0734 10.00 0.0628 0.0000 0.0000 16.233 0.00000 9.577
140.6250 74.7445 0.4525 0.2312 0.3163 0.00000 7.418 1500.0 12.0 0.0000 0.0695 10.00 0.0628 0.0000 0.0000 14.366 0.00000 8.476
146.2500 74.7445 0.5165 0.1982 0.2853 0.00000 8.066 1500.0 12.0 0.0000 0.2163 25.74 0.0628 0.0000 0.0000 12.879 0.00000 7.598
151.8750 74.7445 0.5756 0.1654 0.2590 0.00000 8.170 1500.0 12.0 0.0000 0.4075 46.29 0.0628 0.0000 0.0000 10.824 0.00000 6.386
157.5000 74.7445 0.3926 0.2504 0.3570 0.00000 8.163 1500.0 12.0 0.0000 0.3371 44.31 0.0628 0.0000 0.0003 16.382 0.00000 9.665
163.1250 74.7445 0.4299 0.2284 0.3417 0.00000 7.979 1500.0 12.0 0.0000 0.2242 28.73 0.0628 0.0000 0.0003 14.754 0.00001 8.705
168.7500 74.7445 0.4558 0.2204 0.3238 0.00000 7.385 1500.0 12.0 0.0000 0.1275 15.98 0.0628 0.0000 0.0000 13.666 0.00000 8.063
174.3750 74.7445 0.4076 0.2498 0.3425 0.00000 5.570 1500.0 12.0 0.0000 0.0830 10.75 0.0703 0.0000 0.0000 13.494 0.00000 7.961
180.0000 74.7445 0.4480 0.2235 0.3285 0.00000 5.373 1500.0 12.0 0.0000 0.0624 10.00 0.0700 0.0000 0.0000 11.879 0.00000 5.864
-140.6250 74.7445 0.4487 0.2223 0.3290 0.00000 7.190 1500.0 12.0 0.0000 0.0373 10.00 0.0628 0.0000 0.0000 13.589 0.00000 8.018
-135.0000 74.7445 0.4493 0.2217 0.3290 0.00000 8.163 1500.0 12.0 0.0000 0.0422 10.00 0.0628 0.0000 0.0000 14.503 0.00000 8.557
-129.3750 74.7445 0.4984 0.1938 0.3078 0.00000 8.163 1500.0 12.0 0.0000 0.1256 15.28 0.0628 0.0000 0.0000 12.677 0.00000 7.479
-123.7500 74.7445 0.5199 0.1774 0.3023 0.00000 8.165 1500.0 12.0 0.0000 0.1446 17.35 0.0628 0.0000 0.0000 11.609 0.00000 6.849
