Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
-19.6875 87.8638 0.4429 0.2357 0.3215 0.00000 7.420 1500.0 12.0 0.0000 0.2061 25.96 0.0628 0.0000 0.0000
-16.8750 87.8638 0.4161 0.2518 0.3321 0.00000 7.719 1500.0 12.0 0.0000 0.2095 26.88 0.0628 0.0000 0.0000
-11.2500 87.8638 0.4696 0.2196 0.3108 0.00000 7.121 1500.0 12.0 0.0000 0.2313 28.59 0.0628 0.0000 0.0000
-8.4375 87.8638 0.4982 0.2024 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.2447 29.62 0.0628 0.0000 0.0000
-5.6250 87.8638 0.4982 0.2023 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.2531 30.65 0.0628 0.0000 0.0000
-2.8125 87.8638 0.4982 0.2024 0.2994 0.00000 6.799 1500.0 12.0 0.0000 0.2625 31.78 0.0628 0.0000 0.0000
39.3750 85.0965 0.6262 0.1329 0.2409 0.00000 6.566 1500.0 12.0 0.0000 1.2602 137.72 0.0628 0.0000 0.0000
42.1875 85.0965 0.6727 0.1077 0.2196 0.00000 6.480 1500.0 12.0 0.0000 1.7363 182.32 0.0628 0.0000 0.0000
45.0000 85.0965 0.6053 0.1532 0.2415 0.00000 6.833 1500.0 12.0 0.0000 1.2956 143.28 0.0628 0.0000 0.0000
47.8125 85.0965 0.5301 0.2107 0.2592 0.00000 7.400 1500.0 12.0 0.0000 1.0056 117.00 0.0628 0.0000 0.0000
50.6250 85.0965 0.5006 0.2310 0.2684 0.00000 7.609 1500.0 12.0 0.0000 0.8587 101.98 0.0628 0.0000 0.0000
53.4375 85.0965 0.5383 0.1971 0.2646 0.00000 7.397 1500.0 12.0 0.0000 0.9040 105.06 0.0628 0.0000 0.0000
56.2500 85.0965 0.6638 0.1125 0.2237 0.00000 6.497 1500.0 12.0 0.0000 1.2913 136.65 0.0628 0.0000 0.0000
59.0625 85.0965 0.6580 0.1157 0.2264 0.00000 6.507 1500.0 12.0 0.0000 1.1662 124.05 0.0628 0.0000 0.0000
61.8750 85.0965 0.6261 0.1341 0.2398 0.00000 6.747 1500.0 12.0 0.0000 0.9889 108.01 0.0628 0.0000 0.0000
64.6875 85.0965 0.5645 0.1691 0.2664 0.00000 7.105 1500.0 12.0 0.0000 0.7438 85.37 0.0628 0.0000 0.0000
67.5000 85.0965 0.5059 0.2038 0.2903 0.00000 7.670 1500.0 12.0 0.0000 0.6525 78.27 0.0628 0.0000 0.0000
70.3125 85.0965 0.4400 0.2409 0.3192 0.00000 7.991 1500.0 12.0 0.0000 0.5140 64.74 0.0628 0.0000 0.0000
73.1250 85.0965 0.3959 0.2652 0.3389 0.00000 8.133 1500.0 12.0 0.0000 0.4397 57.15 0.0628 0.0000 0.0000
75.9375 85.0965 0.3190 0.3120 0.3690 0.00000 9.063 1500.0 12.0 0.0000 0.4282 58.53 0.0628 0.0000 0.0000
78.7500 85.0965 0.3122 0.3148 0.3730 0.00000 8.943 1500.0 12.0 0.0000 0.4081 56.06 0.0628 0.0000 0.0000
81.5625 85.0965 0.3959 0.2649 0.3393 0.00000 8.080 1500.0 12.0 0.0000 0.4490 58.37 0.0628 0.0000 0.0000
84.3750 85.0965 0.4433 0.2358 0.3209 0.00000 7.483 1500.0 12.0 0.0000 0.4707 59.24 0.0628 0.0000 0.0000
87.1875 85.0965 0.3952 0.2644 0.3404 0.00000 7.954 1500.0 12.0 0.0000 0.4489 58.41 0.0628 0.0000 0.0000
90.0000 85.0965 0.4121 0.2542 0.3337 0.00000 7.765 1500.0 12.0 0.0000 0.4276 55.01 0.0628 0.0000 0.0000
92.8125 85.0965 0.3901 0.2675 0.3425 0.00000 8.012 1500.0 12.0 0.0000 0.3996 52.18 0.0628 0.0000 0.0000
95.6250 85.0965 0.4119 0.2570 0.3311 0.00000 7.745 1500.0 12.0 0.0000 0.3831 49.21 0.0628 0.0000 0.0000
98.4375 85.0965 0.4042 0.2623 0.3335 0.00000 7.826 1500.0 12.0 0.0000 0.3648 47.09 0.0628 0.0000 0.0000
101.2500 85.0965 0.4332 0.2522 0.3146 0.00000 7.443 1500.0 12.0 0.0000 0.3487 43.95 0.0628 0.0000 0.0000
104.0625 85.0965 0.4521 0.2374 0.3105 0.00000 7.258 1500.0 12.0 0.0000 0.3464 43.17 0.0628 0.0000 0.0000
106.8750 85.0965 0.4982 0.2024 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.3584 43.39 0.0628 0.0000 0.0000
